314;##########Tabulka F123_mzddmn
0;dm;nzdm;dndm;td;nap_zp;nap_np;nap_sp;nap_ip;nap_pn;nap_up;nap_gf;nap_rf;br;rh;do;ne;ho;np;prn;prm;prv;prs;sa;ko;sax;su;au;suc;auc;dm1;dm2;dm3;dm4;datm
1;201;PRESCAS;;0;1;1;1;1;1;1;1;1;1;1;0;0;3;0;1;0;0;1;25.0000;20;0;521;20;522;20;0;0;0;0;2013-04-28 21:25:55
1;202;ZVYH.SOBOTA;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0.6898;40;0;521;20;522;20;0;0;0;0;2013-04-28 21:25:55
1;203;ZVYH.NEDELA;ZVYH.NEDELA;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1.3795;40;0;521;20;522;20;0;0;0;0;0000-00-00 00:00:00
1;204;PRIPL.SVIATOK;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;100.0000;20;0;521;20;522;20;0;0;0;0;2013-04-28 21:25:55
1;223;PRIPLATOK NOC;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0.8277;40;0;521;20;522;20;0;0;0;0;2013-04-28 21:25:55

